question_base,question_type,columns_count,columns,options_count,all_options,sample_columns
1.1 Ruolo,multiple_choice,2,1.1 Ruolo:; 1.1 Ruolo:,3,docente; docente referente per l'orientamento e l'accoglienza; Altro,"['1.1 Ruolo:', '1.1 Ruolo:']"
1.1 Ruolo:,multiple_choice,1,1.1 Ruolo: [Altro],1,Altro: A022,['1.1 Ruolo: [Altro]']
1.3 Genere,multiple_choice,2,1.3 Genere:; 1.3 Genere:,2,femmina; maschio,"['1.3 Genere:', '1.3 Genere:']"
1.4 Titolo di studio (indichi tutti i titoli posseduti):,multiple_choice,5,1.4 Titolo di studio (indichi tutti i titoli posseduti): [laurea ]; 1.4 Titolo di studio (indichi tutti i titoli posseduti): [corsi di perfezionamento ]; 1.4 Titolo di studio (indichi tutti i titoli posseduti): [corsi di specializzazione ]; 1.4 Titolo di studio (indichi tutti i titoli posseduti): [master ]; 1.4 Titolo di studio (indichi tutti i titoli posseduti): [dottorato ],5,laurea; corsi di perfezionamento; corsi di specializzazione; master; dottorato,"['1.4 Titolo di studio (indichi tutti i titoli posseduti): [laurea ]', '1.4 Titolo di studio (indichi tutti i titoli posseduti): [corsi di perfezionamento ]', '1.4 Titolo di studio (indichi tutti i titoli posseduti): [corsi di specializzazione ]', '1.4 Titolo di studio (indichi tutti i titoli posseduti): [master ]', '1.4 Titolo di studio (indichi tutti i titoli posseduti): [dottorato ]']"
1.5 Anzianità di servizio non di ruolo nella scuola,multiple_choice,2,1.5 Anzianità di servizio non di ruolo nella scuola:; 1.5 Anzianità di servizio non di ruolo nella scuola:,2,oltre 15 anni; meno di 5 anni,"['1.5 Anzianità di servizio non di ruolo nella scuola:', '1.5 Anzianità di servizio non di ruolo nella scuola:']"
1.6 Anzianità di servizio di ruolo nella scuola,multiple_choice,2,1.6 Anzianità di servizio di ruolo nella scuola:; 1.6 Anzianità di servizio di ruolo nella scuola:,2,oltre 15 anni; meno di 5 anni,"['1.6 Anzianità di servizio di ruolo nella scuola:', '1.6 Anzianità di servizio di ruolo nella scuola:']"
"1.7 Attualmente svolge altri incarichi (vicepreside, funzione strumentale etc.)?",multiple_choice,2,"1.7 Attualmente svolge altri incarichi (vicepreside, funzione strumentale etc.)? ; 1.7 Attualmente svolge altri incarichi (vicepreside, funzione strumentale etc.)? ",2,No; Sì,"['1.7 Attualmente svolge altri incarichi (vicepreside, funzione strumentale etc.)?\xa0', '1.7 Attualmente svolge altri incarichi (vicepreside, funzione strumentale etc.)?\xa0']"
"1.8 Per quale classe di concorso ha conseguito l’abilitazione all’insegnamento? Se ha conseguito l’abilitazione per più classi di concorso, le indichi separandole con una virgola (es. A012,A013)",multiple_choice,2,"1.8 Per quale classe di concorso ha conseguito l’abilitazione all’insegnamento? Se ha conseguito l’abilitazione per più classi di concorso, le indichi separandole con una virgola (es. A012,A013); 1.8 Per quale classe di concorso ha conseguito l’abilitazione all’insegnamento? Se ha conseguito l’abilitazione per più classi di concorso, le indichi separandole con una virgola (es. A012,A013)",3,A022; AO22; .,"['1.8 Per quale classe di concorso ha conseguito l’abilitazione all’insegnamento? Se ha conseguito l’abilitazione per più classi di concorso, le indichi separandole con una virgola (es. A012,A013)', '1.8 Per quale classe di concorso ha conseguito l’abilitazione all’insegnamento? Se ha conseguito l’abilitazione per più classi di concorso, le indichi separandole con una virgola (es. A012,A013)']"
2.2 Le attività di orientamento prevedono interventi organizzati,multiple_choice,5,"2.2 Le attività di orientamento prevedono interventi organizzati [all’interno della scuola ]; 2.2 Le attività di orientamento prevedono interventi organizzati [sul territorio in collaborazione con le università]; 2.2 Le attività di orientamento prevedono interventi organizzati [sul territorio in collaborazione con le aziende locali]; 2.2 Le attività di orientamento prevedono interventi organizzati [sul territorio in collaborazione con enti pubblici territoriali (regioni, comuni, province, città metropolitane, comunità montane etc.)]; 2.2 Le attività di orientamento prevedono interventi organizzati [sul territorio in collaborazione con enti del terzo settore (cooperative, associazioni no profit etc.)]",5,"all’interno della scuola; sul territorio in collaborazione con le università; sul territorio in collaborazione con le aziende locali; sul territorio in collaborazione con enti pubblici territoriali (regioni, comuni, province, città metropolitane, comunità montane etc.); sul territorio in collaborazione con enti del terzo settore (cooperative, associazioni no profit etc.)","['2.2 Le attività di orientamento prevedono interventi organizzati [all’interno della scuola ]', '2.2 Le attività di orientamento prevedono interventi organizzati [sul territorio in collaborazione con le università]', '2.2 Le attività di orientamento prevedono interventi organizzati [sul territorio in collaborazione con le aziende locali]', '2.2 Le attività di orientamento prevedono interventi organizzati [sul territorio in collaborazione con enti pubblici territoriali (regioni, comuni, province, città metropolitane, comunità montane etc.)]', '2.2 Le attività di orientamento prevedono interventi organizzati [sul territorio in collaborazione con enti del terzo settore (cooperative, associazioni no profit etc.)]']"
2.3 Le attività di orientamento indicate nel PTOF sono finalizzate a,multiple_choice,4,2.3 Le attività di orientamento indicate nel PTOF sono finalizzate a [valorizzare le attitudini e le inclinazioni dello studente]; 2.3 Le attività di orientamento indicate nel PTOF sono finalizzate a [valorizzare gli interessi e le preferenze dello studente]; 2.3 Le attività di orientamento indicate nel PTOF sono finalizzate a [accompagnare lo studente nell’elaborazione critica del proprio progetto di vita]; 2.3 Le attività di orientamento indicate nel PTOF sono finalizzate a [accompagnare lo studente nelle transizioni formative e professionali],4,valorizzare le attitudini e le inclinazioni dello studente; valorizzare gli interessi e le preferenze dello studente; accompagnare lo studente nell’elaborazione critica del proprio progetto di vita; accompagnare lo studente nelle transizioni formative e professionali,"['2.3 Le attività di orientamento indicate nel PTOF sono finalizzate a [valorizzare le attitudini e le inclinazioni dello studente]', '2.3 Le attività di orientamento indicate nel PTOF sono finalizzate a [valorizzare gli interessi e le preferenze dello studente]', '2.3 Le attività di orientamento indicate nel PTOF sono finalizzate a [accompagnare lo studente nell’elaborazione critica del proprio progetto di vita]', '2.3 Le attività di orientamento indicate nel PTOF sono finalizzate a [accompagnare lo studente nelle transizioni formative e professionali]']"
2.4 Le attività di orientamento indicate nel PTOF prevedono interventi mirati al raggiungimento dei seguenti obiettivi:,multiple_choice,4,"2.4 Le attività di orientamento indicate nel PTOF prevedono interventi mirati al raggiungimento dei seguenti obiettivi: [ridurre l’abbandono scolastico ]; 2.4 Le attività di orientamento indicate nel PTOF prevedono interventi mirati al raggiungimento dei seguenti obiettivi: [favorire la continuità formativa tra scuola e realtà socioeconomica del territorio]; 2.4 Le attività di orientamento indicate nel PTOF prevedono interventi mirati al raggiungimento dei seguenti obiettivi: [contrastare il fenomeno dei NEET (ragazzi che non studiano, non lavorano, non seguono corsi di formazione)]; 2.4 Le attività di orientamento indicate nel PTOF prevedono interventi mirati al raggiungimento dei seguenti obiettivi: [favorire l’educazione all’apprendimento e alla formazione permanente ]",4,"ridurre l’abbandono scolastico; favorire la continuità formativa tra scuola e realtà socioeconomica del territorio; contrastare il fenomeno dei NEET (ragazzi che non studiano, non lavorano, non seguono corsi di formazione); favorire l’educazione all’apprendimento e alla formazione permanente","['2.4 Le attività di orientamento indicate nel PTOF prevedono interventi mirati al raggiungimento dei seguenti obiettivi: [ridurre l’abbandono scolastico ]', '2.4 Le attività di orientamento indicate nel PTOF prevedono interventi mirati al raggiungimento dei seguenti obiettivi: [favorire la continuità formativa tra scuola e realtà socioeconomica del territorio]', '2.4 Le attività di orientamento indicate nel PTOF prevedono interventi mirati al raggiungimento dei seguenti obiettivi: [contrastare il fenomeno dei NEET (ragazzi che non studiano, non lavorano, non seguono corsi di formazione)]', '2.4 Le attività di orientamento indicate nel PTOF prevedono interventi mirati al raggiungimento dei seguenti obiettivi: [favorire l’educazione all’apprendimento e alla formazione permanente ]']"
