file_number,column,non_null_pct,non_null_count,rows_in_file
321654,ID risposta,100.0,5,5
321654,Data invio,40.0,2,5
321654,Ultima pagina,80.0,4,5
321654,Lingua iniziale,100.0,5,5
321654,Seme,100.0,5,5
321654,1.1 Ruolo:,80.0,4,5
321654,1.1 Ruolo: [Altro],20.0,1,5
321654,1.2 Età:,80.0,4,5
321654,1.3 Genere:,80.0,4,5
321654,1.4 Titolo di studio (indichi tutti i titoli posseduti): [laurea ],80.0,4,5
321654,1.4 Titolo di studio (indichi tutti i titoli posseduti): [corsi di perfezionamento ],80.0,4,5
321654,1.4 Titolo di studio (indichi tutti i titoli posseduti): [corsi di specializzazione ],80.0,4,5
321654,1.4 Titolo di studio (indichi tutti i titoli posseduti): [master ],80.0,4,5
321654,1.4 Titolo di studio (indichi tutti i titoli posseduti): [dottorato ],80.0,4,5
321654,1.5 Anzianità di servizio non di ruolo nella scuola:,80.0,4,5
321654,1.6 Anzianità di servizio di ruolo nella scuola:,80.0,4,5
321654,"1.7 Attualmente svolge altri incarichi (vicepreside, funzione strumentale etc.)? ",80.0,4,5
321654,1.7.b Specificare:,20.0,1,5
321654,"1.8 Per quale classe di concorso ha conseguito l’abilitazione all’insegnamento? Se ha conseguito l’abilitazione per più classi di concorso, le indichi separandole con una virgola (es. A012,A013)",80.0,4,5
321654,1.9 Insegnamento in qualità di docente per le attività di sostegno ,80.0,4,5
321654,2.1 Nel PTOF della sua scuola è prevista una sezione dedicata all’orientamento?,80.0,4,5
321654,2.2 Le attività di orientamento prevedono interventi organizzati [all’interno della scuola ],80.0,4,5
321654,2.2 Le attività di orientamento prevedono interventi organizzati [sul territorio in collaborazione con le università],80.0,4,5
321654,2.2 Le attività di orientamento prevedono interventi organizzati [sul territorio in collaborazione con le aziende locali],80.0,4,5
321654,"2.2 Le attività di orientamento prevedono interventi organizzati [sul territorio in collaborazione con enti pubblici territoriali (regioni, comuni, province, città metropolitane, comunità montane etc.)]",80.0,4,5
